,Mouse ID,Date,Weight,Baited Arms Retrieved,Reference Memory Errors,Working Memory Errors,Other Notes,Start Time,End Time,Video Length,File,FPS,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance,Center,ArmA,ArmB,ArmC,ArmD,ArmE,ArmF,ArmG,ArmH
241,196,2020-02-07,24,4,5,1,BCEG,2020-02-07 11:11:35,2020-02-07 11:12:22,0:00:47,2020_02_07_N196_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 1405)",3478.026111980905,0.061166429587482224,0.1116642958748222,0.19132290184921769,0.17425320056899005,0.08179231863442389,0.14082503556187767,0.07610241820768136,0.08463726884779517,0.07965860597439545
242,196,2020-02-08,24,4,5,4,GBEC,2020-02-08 14:10:02,2020-02-08 14:11:39,0:01:37,2020_02_08_N196_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 2907)",5371.471798490337,0.08012379642365887,0.14786795048143053,0.26513067400275103,0.02888583218707015,0.050206327372764786,0.1420220082530949,0.0,0.12826685006877578,0.15852819807427784
243,196,2020-02-15,21,4,5,2,BCEG,2020-02-15 17:37:11,2020-02-15 17:38:06,0:00:55,2020_02_15_N196_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 1653)",3773.947575276836,0.061668681983071336,0.08343409915356713,0.1735187424425635,0.1215235792019347,0.04897218863361548,0.250906892382104,0.08282950423216445,0.12877871825876666,0.04897218863361548
244,196,2020-02-22,19,4,5,4,,2020-02-22 13:45:15,2020-02-22 13:46:20,0:01:05,2020_02_22_N196_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 1954)",5006.773856677046,0.0741687979539642,0.04194373401534527,0.13043478260869565,0.10792838874680306,0.06342710997442455,0.12071611253196933,0.2843989769820972,0.1278772378516624,0.049104859335038366
245,196,2020-02-29,28,4,15,23,,2020-02-29 15:45:30,2020-02-29 15:49:39,0:04:09,2020_02_29_N196_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 7465)",15086.018557054722,0.1001875167425663,0.11612643986070185,0.062282346638092685,0.315831770693812,0.07005089740155371,0.10956335387088133,0.0999196356817573,0.07969461559067774,0.048486472006429145
246,196,2020-03-07,27,4,4,1,,2020-03-07 19:33:26,2020-03-07 19:34:37,0:01:11,2020_03_07_N196_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 2144)",4116.041990072134,0.05174825174825175,0.08531468531468532,0.07925407925407925,0.049883449883449886,0.13053613053613053,0.25594405594405595,0.09044289044289043,0.13986013986013987,0.11701631701631698
247,196,2020-03-14,28,4,3,0,,2020-03-14 18:22:46,2020-03-14 18:23:52,0:01:06,2020_03_14_N196_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 1993)",3204.1333734212517,0.036108324974924784,0.12036108324974926,0.18455366098294884,0.0667001003009027,0.0,0.11133400200601803,0.08625877632898696,0.14794383149448345,0.24674022066198595
248,207,2020-01-25,28,4,3,0,,2020-01-25 13:34:56,2020-01-25 13:37:52,0:02:56,2020_01_25_N207_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 5279)",3931.7402831472136,0.028409090909090905,0.03977272727272727,0.1888257575757576,0.0456439393939394,0.0,0.3679924242424242,0.09886363636363636,0.12821969696969698,0.10303030303030304
249,207,2020-01-31,28,4,5,2,,2020-01-31 20:12:38,2020-01-31 20:14:44,0:02:06,2020_01_31_N207_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 3784)",4943.4954892238175,0.046235138705416116,0.13183619550858652,0.18652575957727874,0.15508586525759574,0.05099075297225892,0.03857331571994716,0.2214002642007926,0.11466314398943195,0.05627476882430647
250,207,2020-02-01,24,4,4,2,EBCG,2020-02-01 12:32:21,2020-02-01 12:34:56,0:02:35,2020_02_01_N207_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 4655)",4058.9221156563362,0.06078178694158076,0.02491408934707904,0.12607388316151202,0.1486254295532646,0.03651202749140894,0.3930412371134021,0.1088917525773196,0.04639175257731959,0.057345360824742266
251,207,2020-02-07,26,4,4,0,BCEG,2020-02-07 11:16:36,2020-02-07 11:18:11,0:01:35,2020_02_07_N207_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 2864)",3704.5611521090996,0.03979057591623037,0.2485165794066317,0.1493891797556719,0.18324607329842926,0.07783595113438045,0.13472949389179756,0.08097731239092495,0.034904013961605584,0.05200698080279232
252,207,2020-02-08,24,4,13,17,GBEC,2020-02-08 14:46:53,2020-02-08 14:50:05,0:03:12,2020_02_08_N207_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 5766)",10196.797227419816,0.141321310906884,0.05444771978498353,0.23252991156580546,0.12571527657360845,0.08461938616264955,0.015259233570313854,0.07560256632564592,0.11062944338477544,0.16264955782902726
253,207,2020-02-15,23,4,5,1,BCEG,2020-02-15 17:42:43,2020-02-15 17:43:24,0:00:41,2020_02_15_N207_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 1238)",3521.599072787129,0.06133979015334948,0.11218724778046812,0.26150121065375304,0.11702986279257464,0.062146892655367235,0.12106537530266345,0.09120258272800644,0.10653753026634384,0.06779661016949153
254,207,2020-02-22,21,4,4,1,GBCE,2020-02-22 13:57:17,2020-02-22 13:57:58,0:00:41,2020_02_22_N207_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 1230)",3022.364231204117,0.11697806661251015,0.12103980503655565,0.21770917952883834,0.1454102355808286,0.0982940698619009,0.11697806661251015,0.0,0.11047928513403736,0.07798537774167344
255,207,2020-02-29,30,4,3,3,,2020-02-29 15:54:14,2020-02-29 15:55:40,0:01:26,2020_02_29_N207_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 2579)",4644.4979319826425,0.07674418604651162,0.08798449612403099,0.19108527131782946,0.14883720930232558,0.05930232558139535,0.1883720930232558,0.16162790697674415,0.08682170542635659,0.0
256,207,2020-03-07,29,4,4,2,,2020-03-07 19:37:32,2020-03-07 19:39:41,0:02:09,2020_03_07_N207_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 3872)",4815.107617178183,0.032274722437387035,0.046733798089336434,0.19803769687580688,0.09450038729666924,0.13607022979602376,0.10250451846114124,0.10172992512264396,0.2884069197004906,0.0
257,207,2020-03-14,30,4,5,2,,2020-03-14 18:28:59,2020-03-14 18:34:26,0:05:27,2020_03_14_N207_BCEG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 9823)",6637.012076414825,0.026771172638436484,0.1563517915309446,0.010891693811074918,0.051710097719869716,0.018831433224755702,0.25335912052117265,0.09100162866449513,0.1374185667752443,0.254071661237785
258,202,2020-01-25,29,4,5,4,,2020-01-25 13:43:20,2020-01-25 13:49:29,0:06:09,2020_01_25_N202_ABFG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 11057)",7419.358070963254,0.03608247422680412,0.2353951890034364,0.04928558509676252,0.0,0.023783686019171642,0.11710978477120634,0.05208898534997287,0.2485982998733948,0.2390124796527401
259,202,2020-01-31,30,4,5,7,,2020-01-31 14:17:14,2020-01-31 14:22:01,0:04:47,2020_01_31_N202_ABFG_EB1_Trial1.avi,30.0,99.9,True,0.98,85.0,0.0,all,"(0, 8607)",7685.061583886183,0.04728159851301116,0.0924721189591078,0.07818308550185872,0.0,0.4821096654275093,0.037407063197026025,0.05808550185873606,0.14951208178438666,0.0554135687732342
