Mouse ID,Date,Weight,Baited Arms Retrieved,Reference Memory Errors,Working Memory Errors,Other Notes,Start Time,End Time,Video Length,File,FPS,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,bin,range(f),Distance,Center,ArmA,ArmB,ArmC,ArmD,ArmE,ArmF,ArmG,ArmH
84,7/19/2019,19,4,5,11,"Recieved Bait From Arms B, D, H, F",,,,,,,,,,,,,,,,,,,,,,
78,7/19/2019,21,4,6,2,"Recieved Bait From Arms C, F, A, D",,,,,,,,,,,,,,,,,,,,,,
80,7/19/2019,21,4,4,3,"Recieved Bait From Arms F, D, A, C ",,,,,,,,,,,,,,,,,,,,,,
86,7/19/2019,17,4,6,1,"Recieved Bait From Arms F, D, C, A",,,,,,,,,,,,,,,,,,,,,,
85,7/19/2019,17,4,0,1,"Recieved Bait From Arms D, A, F, C",,,,,,,,,,,,,,,,,,,,,,
82,7/19/2019,21,4,10,1,"Recieved Bait From Arms B,D,H,F",,,,,,,,,,,,,,,,,,,,,,
98,7/19/2019,21,4,16,2,"Recieved Bait From Arms A, C, D, F",,,,,,,,,,,,,,,,,,,,,,
79,7/19/2019,21,4,5,2,"Recieved Bait From Arms C, A, D, F",,,,,,,,,,,,,,,,,,,,,,
98,7/20/2019,21,4,1,0,"Received Bait From Arms A, C, D, F ",,,,,,,,,,,,,,,,,,,,,,
85,7/20/2019,17,4,3,1,"Received Bait From Arms D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
80,7/20/2019,21,4,2,1,"Received Bait From Arms C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
82,7/20/2019,21,4,5,2,"Received Bait From Arms D, B, F, H",,,,,,,,,,,,,,,,,,,,,,
81,7/20/2019,22,4,5,4,"Received Bait From Arms H, D, F, B ",,,,,,,,,,,,,,,,,,,,,,
90,7/20/2019,21,4,6,2,"Received Bait From Arms D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
87,7/20/2019,17,4,6,2,"Received Bait From Arms A, C, D, F",,,,,,,,,,,,,,,,,,,,,,
86,7/20/2019,17,4,4,2,"Received Bait From Arms D, C, F, A",,,,,,,,,,,,,,,,,,,,,,
79,7/20/2019,20,4,6,1,"Received Bait From Arms F, A, C, D",,,,,,,,,,,,,,,,,,,,,,
83,7/20/2019,21,4,4,2,"Received Bait From Arms B, D, F, H. Mouse ran into several different arms initially but then corrected itself and went to BDFH in perfect order.",,,,,,,,,,,,,,,,,,,,,,
78,7/20/2019,20,4,8,4,"Received Bait From Arms D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
84,7/20/2019,20,4,0,0,"Received Bait From Arms B, D, F, H",,,,,,,,,,,,,,,,,,,,,,
98,7/22/2019,21,4,7,4,"Retrieved bait from arms D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
87,7/22/2019,17,4,8,2,"Received Bait From Arms F, D, A, C",,,,,,,,,,,,,,,,,,,,,,
81,7/22/2019,23,4,4,0,"Received Bait From Arms D, F, H, B",,,,,,,,,,,,,,,,,,,,,,
78,7/22/2019,21,4,15,7,"Received Bait From Arms D, F, A, C",,,,,,,,,,,,,,,,,,,,,,
79,7/22/2019,22,4,5,1,"Received Bait From Arms D, A, C, F",,,,,,,,,,,,,,,,,,,,,,
82,7/22/2019,21,4,2,1,"Received Bait From Arms H, F, D, B",,,,,,,,,,,,,,,,,,,,,,
90,7/22/2019,21,4,4,0,"Retrieved bait from arms D,C,A,F",,,,,,,,,,,,,,,,,,,,,,
80,7/22/2019,22,4,6,3,"Retrieved bait from arms F,D,C,A",,,,,,,,,,,,,,,,,,,,,,
84,7/22/2019,21,4,0,0,"Received Bait From Arms B, H, F, D",,,,,,,,,,,,,,,,,,,,,,
85,7/22/2019,17,4,5,5,"Received Bait From Arms D, A, F, C. FAILED RUN, EXCLUDE TODAYS DATA.",,,,,,,,,,,,,,,,,,,,,,
86,7/22/2019,17,4,8,2,"Received Bait From Arms F, D, C, A",,,,,,,,,,,,,,,,,,,,,,
83,7/22/2019,23,4,0,0,"Received Bait From Arms B, D, F, H",,,,,,,,,,,,,,,,,,,,,,
98,7/23/2019,22,4,4,2,"Retrieved bait from C,A,D,F",,,,,,,,,,,,,,,,,,,,,,
82,7/23/2019,21,4,2,1,"Retrieved bait from H,F,D,B",,,,,,,,,,,,,,,,,,,,,,
79,7/23/2019,23,4,4,1,"Retrieved bait from A,D,F,C",,,,,,,,,,,,,,,,,,,,,,
78,7/23/2019,22,4,4,3,"Retrieved bait from C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
87,7/23/2019,18,4,2,0,"Retrieved bait from C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
90,7/23/2019,22,4,3,1,"Retrieved bait from A,F,D,C",,,,,,,,,,,,,,,,,,,,,,
86,7/23/2019,18,4,0,0,"Retrieved bait from C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
83,7/23/2019,23,4,1,0,"Retrieved bait from D,F,H,B",,,,,,,,,,,,,,,,,,,,,,
81,7/23/2019,22,4,7,4,"Retrieved bait from B,D,H,F",,,,,,,,,,,,,,,,,,,,,,
85,7/23/2019,18,4,1,0,"Retrieved bait from C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
84,7/23/2019,21,4,3,1,"Retrieved bait from B,D,F,H",,,,,,,,,,,,,,,,,,,,,,
80,7/23/2019,22,4,2,3,"Retrieved bait from D,C,A,F",,,,,,,,,,,,,,,,,,,,,,
80,7/24/2019,21,4,1,2,"Retrieved bait from arm A, C, D, F",,,,,,,,,,,,,,,,,,,,,,
87,7/24/2019,17,4,13,6,"Retrieved bait from arm D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
83,7/24/2019,21,4,6,3,"Retrieved bait from arm H, B, D, F",,,,,,,,,,,,,,,,,,,,,,
85,7/24/2019,17,4,1,1,"Retrieved bait from arm A, F, D, C",,,,,,,,,,,,,,,,,,,,,,
78,7/24/2019,21,4,14,7,"Retrieved bait from arm D, F, C, A",,,,,,,,,,,,,,,,,,,,,,
86,7/24/2019,17,4,5,0,"Retrieved bait from arm F, D, C, A",,,,,,,,,,,,,,,,,,,,,,
81,7/24/2019,21,4,3,1,"Retrieved bait from arm D,H,B,F",,,,,,,,,,,,,,,,,,,,,,
84,7/24/2019,21,4,7,1,"Retrieved bait from arm D, H, F, B",,,,,,,,,,,,,,,,,,,,,,
79,7/24/2019,21,4,5,1,"Retrieved bait from arm C, F, A, D",,,,,,,,,,,,,,,,,,,,,,
90,7/24/2019,25,4,8,3,"Retrieved bait from arm A, C, F, D ",,,,,,,,,,,,,,,,,,,,,,
98,7/24/2019,24,4,5,4,"Retrieved bait from arm C, A, F, D",,,,,,,,,,,,,,,,,,,,,,
82,7/24/2019,21,4,5,0,"Retrieved bait from arm D,B,H,F",,,,,,,,,,,,,,,,,,,,,,
79,7/25/2019,21,4,8,1,"Received Bait From Arms C, F, A, D",,,,,,,,,,,,,,,,,,,,,,
78,7/25/2019,21,4,5,1,"Received Bait From Arms D, A, C, F",,,,,,,,,,,,,,,,,,,,,,
87,7/25/2019,18,4,5,5,"Received Bait From Arms D, C, A, F",,,,,,,,,,,,,,,,,,,,,,
98,7/25/2019,23,4,6,6,"Received Bait From Arms C, D, A, F",,,,,,,,,,,,,,,,,,,,,,
84,7/25/2019,21,4,5,1,"Received Bait From Arms F, D, H, B",,,,,,,,,,,,,,,,,,,,,,
82,7/25/2019,21,4,5,0,"Received Bait From Arms F, D, B, H",,,,,,,,,,,,,,,,,,,,,,
90,7/25/2019,23,4,4,0,"Received Bait From Arms D, C, A, F",,,,,,,,,,,,,,,,,,,,,,
83,7/25/2019,23,4,4,4,"Received Bait From Arms F, H, B, D",,,,,,,,,,,,,,,,,,,,,,
85,7/25/2019,18,4,3,3,"Received Bait From Arms D, A, C, F",,,,,,,,,,,,,,,,,,,,,,
80,7/25/2019,21,4,2,0,"Received Bait From Arms C, D, F, A",,,,,,,,,,,,,,,,,,,,,,
86,7/25/2019,17,4,6,2,"Received Bait From Arms D, F, A, C",,,,,,,,,,,,,,,,,,,,,,
81,7/25/2019,23,4,5,1,"Received Bait From Arms D, H, B, F",,,,,,,,,,,,,,,,,,,,,,
81,7/26/2019,22,4,5,2,"Retrieved bait from B,D,F,H",,,,,,,,,,,,,,,,,,,,,,
80,7/26/2019,21,4,4,3,"Retrieved bait from D,C,A,F",,,,,,,,,,,,,,,,,,,,,,
78,7/26/2019,21,4,0,1,"Retrieved bait from A,D,F,C",,,,,,,,,,,,,,,,,,,,,,
86,7/26/2019,17,4,2,0,"Retrieved bait from C,A,D,F",,,,,,,,,,,,,,,,,,,,,,
85,7/26/2019,18,4,0,0,"Retrieved bait from C,A,F,D",,,,,,,,,,,,,,,,,,,,,,
98,7/26/2019,22,4,1,1,"Retrieved bait from D,F,C,A",,,,,,,,,,,,,,,,,,,,,,
90,7/26/2019,22,4,4,1,"Retrieved bait from D,C,A,F",,,,,,,,,,,,,,,,,,,,,,
87,7/26/2019,18,4,5,4,"Retrieved bait from C,F,D,A",,,,,,,,,,,,,,,,,,,,,,
84,7/26/2019,20,4,6,3,"Retrieved bait from H,B,F,D",,,,,,,,,,,,,,,,,,,,,,
